group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
search_no_match,64,700000,700000,elements,7729241.0,ns,3
search_no_match,64,700000,700000,elements,15948060.0,ns,6
search_no_match,64,700000,700000,elements,23574655.0,ns,9
search_no_match,64,700000,700000,elements,32511563.0,ns,12
search_no_match,64,700000,700000,elements,43766915.0,ns,15
search_no_match,64,700000,700000,elements,51906248.0,ns,18
search_no_match,64,700000,700000,elements,55903426.0,ns,21
search_no_match,64,700000,700000,elements,63221299.0,ns,24
search_no_match,64,700000,700000,elements,72636175.0,ns,27
search_no_match,64,700000,700000,elements,77303782.0,ns,30
search_no_match,64,700000,700000,elements,89672099.0,ns,33
search_no_match,64,700000,700000,elements,101184016.0,ns,36
search_no_match,64,700000,700000,elements,108863864.0,ns,39
search_no_match,64,700000,700000,elements,110438767.0,ns,42
search_no_match,64,700000,700000,elements,118200634.0,ns,45
search_no_match,64,700000,700000,elements,132834187.0,ns,48
search_no_match,64,700000,700000,elements,136761283.0,ns,51
search_no_match,64,700000,700000,elements,146925758.0,ns,54
search_no_match,64,700000,700000,elements,153942912.0,ns,57
search_no_match,64,700000,700000,elements,162064293.0,ns,60
search_no_match,64,700000,700000,elements,174471470.0,ns,63
search_no_match,64,700000,700000,elements,180223076.0,ns,66
search_no_match,64,700000,700000,elements,185171613.0,ns,69
search_no_match,64,700000,700000,elements,195740684.0,ns,72
search_no_match,64,700000,700000,elements,208508131.0,ns,75
search_no_match,64,700000,700000,elements,209587127.0,ns,78
search_no_match,64,700000,700000,elements,213982559.0,ns,81
search_no_match,64,700000,700000,elements,229356736.0,ns,84
search_no_match,64,700000,700000,elements,230173901.0,ns,87
search_no_match,64,700000,700000,elements,246093471.0,ns,90
search_no_match,64,700000,700000,elements,253038896.0,ns,93
search_no_match,64,700000,700000,elements,255507135.0,ns,96
search_no_match,64,700000,700000,elements,273839496.0,ns,99
search_no_match,64,700000,700000,elements,274811730.0,ns,102
search_no_match,64,700000,700000,elements,284480764.0,ns,105
search_no_match,64,700000,700000,elements,286827862.0,ns,108
search_no_match,64,700000,700000,elements,309826416.0,ns,111
search_no_match,64,700000,700000,elements,306465522.0,ns,114
search_no_match,64,700000,700000,elements,317546902.0,ns,117
search_no_match,64,700000,700000,elements,325621718.0,ns,120
search_no_match,64,700000,700000,elements,328831062.0,ns,123
search_no_match,64,700000,700000,elements,337274152.0,ns,126
search_no_match,64,700000,700000,elements,358967876.0,ns,129
search_no_match,64,700000,700000,elements,359686609.0,ns,132
search_no_match,64,700000,700000,elements,367930205.0,ns,135
search_no_match,64,700000,700000,elements,380284389.0,ns,138
search_no_match,64,700000,700000,elements,383840964.0,ns,141
search_no_match,64,700000,700000,elements,399019897.0,ns,144
search_no_match,64,700000,700000,elements,401774600.0,ns,147
search_no_match,64,700000,700000,elements,395387284.0,ns,150
search_no_match,64,700000,700000,elements,415133814.0,ns,153
search_no_match,64,700000,700000,elements,425553042.0,ns,156
search_no_match,64,700000,700000,elements,424683693.0,ns,159
search_no_match,64,700000,700000,elements,449204606.0,ns,162
search_no_match,64,700000,700000,elements,439676420.0,ns,165
search_no_match,64,700000,700000,elements,454283243.0,ns,168
search_no_match,64,700000,700000,elements,463641694.0,ns,171
search_no_match,64,700000,700000,elements,470163730.0,ns,174
search_no_match,64,700000,700000,elements,487411139.0,ns,177
search_no_match,64,700000,700000,elements,483994271.0,ns,180
search_no_match,64,700000,700000,elements,494628806.0,ns,183
search_no_match,64,700000,700000,elements,509719687.0,ns,186
search_no_match,64,700000,700000,elements,515864536.0,ns,189
search_no_match,64,700000,700000,elements,513573304.0,ns,192
search_no_match,64,700000,700000,elements,525847848.0,ns,195
search_no_match,64,700000,700000,elements,533138224.0,ns,198
search_no_match,64,700000,700000,elements,547569651.0,ns,201
search_no_match,64,700000,700000,elements,557179789.0,ns,204
search_no_match,64,700000,700000,elements,557515916.0,ns,207
search_no_match,64,700000,700000,elements,562593341.0,ns,210
search_no_match,64,700000,700000,elements,572469503.0,ns,213
search_no_match,64,700000,700000,elements,584498627.0,ns,216
search_no_match,64,700000,700000,elements,588444392.0,ns,219
search_no_match,64,700000,700000,elements,607886708.0,ns,222
search_no_match,64,700000,700000,elements,612693050.0,ns,225
search_no_match,64,700000,700000,elements,618306305.0,ns,228
search_no_match,64,700000,700000,elements,625450033.0,ns,231
search_no_match,64,700000,700000,elements,629394769.0,ns,234
search_no_match,64,700000,700000,elements,649051461.0,ns,237
search_no_match,64,700000,700000,elements,653393399.0,ns,240
search_no_match,64,700000,700000,elements,661857774.0,ns,243
search_no_match,64,700000,700000,elements,660216866.0,ns,246
search_no_match,64,700000,700000,elements,673111430.0,ns,249
search_no_match,64,700000,700000,elements,685412417.0,ns,252
search_no_match,64,700000,700000,elements,687124786.0,ns,255
search_no_match,64,700000,700000,elements,699317795.0,ns,258
search_no_match,64,700000,700000,elements,703362441.0,ns,261
search_no_match,64,700000,700000,elements,716437218.0,ns,264
search_no_match,64,700000,700000,elements,723477277.0,ns,267
search_no_match,64,700000,700000,elements,734795593.0,ns,270
search_no_match,64,700000,700000,elements,747120538.0,ns,273
search_no_match,64,700000,700000,elements,756393453.0,ns,276
search_no_match,64,700000,700000,elements,749431245.0,ns,279
search_no_match,64,700000,700000,elements,766502739.0,ns,282
search_no_match,64,700000,700000,elements,788261805.0,ns,285
search_no_match,64,700000,700000,elements,764247660.0,ns,288
search_no_match,64,700000,700000,elements,792048960.0,ns,291
search_no_match,64,700000,700000,elements,804220586.0,ns,294
search_no_match,64,700000,700000,elements,810395128.0,ns,297
search_no_match,64,700000,700000,elements,814585730.0,ns,300
