group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
search_no_match,128,500000,500000,elements,6715021.0,ns,2
search_no_match,128,500000,500000,elements,13504210.0,ns,4
search_no_match,128,500000,500000,elements,20425187.0,ns,6
search_no_match,128,500000,500000,elements,27646220.0,ns,8
search_no_match,128,500000,500000,elements,35345667.0,ns,10
search_no_match,128,500000,500000,elements,44841649.0,ns,12
search_no_match,128,500000,500000,elements,49634680.0,ns,14
search_no_match,128,500000,500000,elements,62045567.0,ns,16
search_no_match,128,500000,500000,elements,67684838.0,ns,18
search_no_match,128,500000,500000,elements,67863191.0,ns,20
search_no_match,128,500000,500000,elements,79798611.0,ns,22
search_no_match,128,500000,500000,elements,87207578.0,ns,24
search_no_match,128,500000,500000,elements,97482338.0,ns,26
search_no_match,128,500000,500000,elements,101754528.0,ns,28
search_no_match,128,500000,500000,elements,110999270.0,ns,30
search_no_match,128,500000,500000,elements,115332178.0,ns,32
search_no_match,128,500000,500000,elements,125664797.0,ns,34
search_no_match,128,500000,500000,elements,132573361.0,ns,36
search_no_match,128,500000,500000,elements,144363656.0,ns,38
search_no_match,128,500000,500000,elements,143345415.0,ns,40
search_no_match,128,500000,500000,elements,152283935.0,ns,42
search_no_match,128,500000,500000,elements,157306761.0,ns,44
search_no_match,128,500000,500000,elements,167856416.0,ns,46
search_no_match,128,500000,500000,elements,179706786.0,ns,48
search_no_match,128,500000,500000,elements,178793709.0,ns,50
search_no_match,128,500000,500000,elements,189966929.0,ns,52
search_no_match,128,500000,500000,elements,194354715.0,ns,54
search_no_match,128,500000,500000,elements,207694972.0,ns,56
search_no_match,128,500000,500000,elements,211000286.0,ns,58
search_no_match,128,500000,500000,elements,215160774.0,ns,60
search_no_match,128,500000,500000,elements,224230769.0,ns,62
search_no_match,128,500000,500000,elements,231740352.0,ns,64
search_no_match,128,500000,500000,elements,242228379.0,ns,66
search_no_match,128,500000,500000,elements,248797475.0,ns,68
search_no_match,128,500000,500000,elements,253405820.0,ns,70
search_no_match,128,500000,500000,elements,264654961.0,ns,72
search_no_match,128,500000,500000,elements,271681468.0,ns,74
search_no_match,128,500000,500000,elements,280492341.0,ns,76
search_no_match,128,500000,500000,elements,280792716.0,ns,78
search_no_match,128,500000,500000,elements,294115088.0,ns,80
search_no_match,128,500000,500000,elements,298749319.0,ns,82
search_no_match,128,500000,500000,elements,309391659.0,ns,84
search_no_match,128,500000,500000,elements,309659927.0,ns,86
search_no_match,128,500000,500000,elements,322188546.0,ns,88
search_no_match,128,500000,500000,elements,329866601.0,ns,90
search_no_match,128,500000,500000,elements,334692330.0,ns,92
search_no_match,128,500000,500000,elements,342954863.0,ns,94
search_no_match,128,500000,500000,elements,349353067.0,ns,96
search_no_match,128,500000,500000,elements,355343807.0,ns,98
search_no_match,128,500000,500000,elements,362707872.0,ns,100
search_no_match,128,500000,500000,elements,377094566.0,ns,102
search_no_match,128,500000,500000,elements,378157244.0,ns,104
search_no_match,128,500000,500000,elements,392894978.0,ns,106
search_no_match,128,500000,500000,elements,387277748.0,ns,108
search_no_match,128,500000,500000,elements,399345955.0,ns,110
search_no_match,128,500000,500000,elements,412702824.0,ns,112
search_no_match,128,500000,500000,elements,412448251.0,ns,114
search_no_match,128,500000,500000,elements,428832725.0,ns,116
search_no_match,128,500000,500000,elements,428415684.0,ns,118
search_no_match,128,500000,500000,elements,440417347.0,ns,120
search_no_match,128,500000,500000,elements,442995873.0,ns,122
search_no_match,128,500000,500000,elements,450462800.0,ns,124
search_no_match,128,500000,500000,elements,466448791.0,ns,126
search_no_match,128,500000,500000,elements,469948525.0,ns,128
search_no_match,128,500000,500000,elements,476894414.0,ns,130
search_no_match,128,500000,500000,elements,478649210.0,ns,132
search_no_match,128,500000,500000,elements,487426977.0,ns,134
search_no_match,128,500000,500000,elements,506829234.0,ns,136
search_no_match,128,500000,500000,elements,510960791.0,ns,138
search_no_match,128,500000,500000,elements,510547028.0,ns,140
search_no_match,128,500000,500000,elements,515363148.0,ns,142
search_no_match,128,500000,500000,elements,533729015.0,ns,144
search_no_match,128,500000,500000,elements,536249438.0,ns,146
search_no_match,128,500000,500000,elements,542849777.0,ns,148
search_no_match,128,500000,500000,elements,541815735.0,ns,150
search_no_match,128,500000,500000,elements,552647438.0,ns,152
search_no_match,128,500000,500000,elements,565581035.0,ns,154
search_no_match,128,500000,500000,elements,567290303.0,ns,156
search_no_match,128,500000,500000,elements,586455986.0,ns,158
search_no_match,128,500000,500000,elements,583338453.0,ns,160
search_no_match,128,500000,500000,elements,603869272.0,ns,162
search_no_match,128,500000,500000,elements,601584024.0,ns,164
search_no_match,128,500000,500000,elements,602576764.0,ns,166
search_no_match,128,500000,500000,elements,621123261.0,ns,168
search_no_match,128,500000,500000,elements,623978175.0,ns,170
search_no_match,128,500000,500000,elements,630516471.0,ns,172
search_no_match,128,500000,500000,elements,642323960.0,ns,174
search_no_match,128,500000,500000,elements,640800462.0,ns,176
search_no_match,128,500000,500000,elements,647686300.0,ns,178
search_no_match,128,500000,500000,elements,665108097.0,ns,180
search_no_match,128,500000,500000,elements,655460478.0,ns,182
search_no_match,128,500000,500000,elements,675552416.0,ns,184
search_no_match,128,500000,500000,elements,683811627.0,ns,186
search_no_match,128,500000,500000,elements,672992093.0,ns,188
