group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
search_no_match,8,400000,400000,elements,4777372.0,ns,8
search_no_match,8,400000,400000,elements,13606930.0,ns,16
search_no_match,8,400000,400000,elements,19397772.0,ns,24
search_no_match,8,400000,400000,elements,25536776.0,ns,32
search_no_match,8,400000,400000,elements,30610822.0,ns,40
search_no_match,8,400000,400000,elements,42830948.0,ns,48
search_no_match,8,400000,400000,elements,50392650.0,ns,56
search_no_match,8,400000,400000,elements,55961979.0,ns,64
search_no_match,8,400000,400000,elements,56062803.0,ns,72
search_no_match,8,400000,400000,elements,65134199.0,ns,80
search_no_match,8,400000,400000,elements,53291194.0,ns,88
search_no_match,8,400000,400000,elements,82400476.0,ns,96
search_no_match,8,400000,400000,elements,76863225.0,ns,104
search_no_match,8,400000,400000,elements,93171194.0,ns,112
search_no_match,8,400000,400000,elements,95687978.0,ns,120
search_no_match,8,400000,400000,elements,107384947.0,ns,128
search_no_match,8,400000,400000,elements,108226644.0,ns,136
search_no_match,8,400000,400000,elements,120261482.0,ns,144
search_no_match,8,400000,400000,elements,130341147.0,ns,152
search_no_match,8,400000,400000,elements,136437331.0,ns,160
search_no_match,8,400000,400000,elements,142391930.0,ns,168
search_no_match,8,400000,400000,elements,148246528.0,ns,176
search_no_match,8,400000,400000,elements,161708577.0,ns,184
search_no_match,8,400000,400000,elements,163723062.0,ns,192
search_no_match,8,400000,400000,elements,167883592.0,ns,200
search_no_match,8,400000,400000,elements,170465337.0,ns,208
search_no_match,8,400000,400000,elements,185301709.0,ns,216
search_no_match,8,400000,400000,elements,186937424.0,ns,224
search_no_match,8,400000,400000,elements,192843630.0,ns,232
search_no_match,8,400000,400000,elements,170727211.0,ns,240
search_no_match,8,400000,400000,elements,188731392.0,ns,248
search_no_match,8,400000,400000,elements,205663066.0,ns,256
search_no_match,8,400000,400000,elements,235489971.0,ns,264
search_no_match,8,400000,400000,elements,217352200.0,ns,272
search_no_match,8,400000,400000,elements,220344256.0,ns,280
search_no_match,8,400000,400000,elements,251931829.0,ns,288
search_no_match,8,400000,400000,elements,214480286.0,ns,296
search_no_match,8,400000,400000,elements,269303594.0,ns,304
search_no_match,8,400000,400000,elements,277904887.0,ns,312
search_no_match,8,400000,400000,elements,264433568.0,ns,320
search_no_match,8,400000,400000,elements,259341747.0,ns,328
search_no_match,8,400000,400000,elements,272571003.0,ns,336
search_no_match,8,400000,400000,elements,250110506.0,ns,344
search_no_match,8,400000,400000,elements,299347566.0,ns,352
search_no_match,8,400000,400000,elements,300638249.0,ns,360
search_no_match,8,400000,400000,elements,309859637.0,ns,368
search_no_match,8,400000,400000,elements,293786399.0,ns,376
search_no_match,8,400000,400000,elements,305053830.0,ns,384
search_no_match,8,400000,400000,elements,310581743.0,ns,392
search_no_match,8,400000,400000,elements,352332110.0,ns,400
search_no_match,8,400000,400000,elements,340355227.0,ns,408
search_no_match,8,400000,400000,elements,332529823.0,ns,416
search_no_match,8,400000,400000,elements,345733738.0,ns,424
search_no_match,8,400000,400000,elements,334209470.0,ns,432
search_no_match,8,400000,400000,elements,361125811.0,ns,440
search_no_match,8,400000,400000,elements,330928357.0,ns,448
search_no_match,8,400000,400000,elements,372897309.0,ns,456
search_no_match,8,400000,400000,elements,379240673.0,ns,464
search_no_match,8,400000,400000,elements,399418251.0,ns,472
search_no_match,8,400000,400000,elements,356335003.0,ns,480
search_no_match,8,400000,400000,elements,400862946.0,ns,488
search_no_match,8,400000,400000,elements,396153669.0,ns,496
search_no_match,8,400000,400000,elements,392716071.0,ns,504
search_no_match,8,400000,400000,elements,427268293.0,ns,512
search_no_match,8,400000,400000,elements,423517377.0,ns,520
search_no_match,8,400000,400000,elements,442453134.0,ns,528
search_no_match,8,400000,400000,elements,454224195.0,ns,536
search_no_match,8,400000,400000,elements,443892901.0,ns,544
search_no_match,8,400000,400000,elements,491813899.0,ns,552
search_no_match,8,400000,400000,elements,455212125.0,ns,560
search_no_match,8,400000,400000,elements,471871754.0,ns,568
search_no_match,8,400000,400000,elements,441297994.0,ns,576
search_no_match,8,400000,400000,elements,471426522.0,ns,584
search_no_match,8,400000,400000,elements,497431793.0,ns,592
search_no_match,8,400000,400000,elements,495985602.0,ns,600
search_no_match,8,400000,400000,elements,522562976.0,ns,608
search_no_match,8,400000,400000,elements,475935551.0,ns,616
search_no_match,8,400000,400000,elements,503365928.0,ns,624
search_no_match,8,400000,400000,elements,520223862.0,ns,632
search_no_match,8,400000,400000,elements,519273099.0,ns,640
search_no_match,8,400000,400000,elements,546958055.0,ns,648
search_no_match,8,400000,400000,elements,548458659.0,ns,656
search_no_match,8,400000,400000,elements,550521654.0,ns,664
search_no_match,8,400000,400000,elements,568656678.0,ns,672
search_no_match,8,400000,400000,elements,560976416.0,ns,680
search_no_match,8,400000,400000,elements,573035628.0,ns,688
search_no_match,8,400000,400000,elements,566881931.0,ns,696
search_no_match,8,400000,400000,elements,516879082.0,ns,704
search_no_match,8,400000,400000,elements,528631688.0,ns,712
search_no_match,8,400000,400000,elements,599451006.0,ns,720
search_no_match,8,400000,400000,elements,629605335.0,ns,728
search_no_match,8,400000,400000,elements,599544083.0,ns,736
search_no_match,8,400000,400000,elements,628348502.0,ns,744
search_no_match,8,400000,400000,elements,655546768.0,ns,752
search_no_match,8,400000,400000,elements,647124039.0,ns,760
search_no_match,8,400000,400000,elements,667771779.0,ns,768
search_no_match,8,400000,400000,elements,621669322.0,ns,776
search_no_match,8,400000,400000,elements,616750949.0,ns,784
search_no_match,8,400000,400000,elements,615130260.0,ns,792
search_no_match,8,400000,400000,elements,661894332.0,ns,800
