group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
search_no_match,256,300000,300000,elements,8428507.0,ns,2
search_no_match,256,300000,300000,elements,17686466.0,ns,4
search_no_match,256,300000,300000,elements,28017211.0,ns,6
search_no_match,256,300000,300000,elements,33560417.0,ns,8
search_no_match,256,300000,300000,elements,46054131.0,ns,10
search_no_match,256,300000,300000,elements,50758535.0,ns,12
search_no_match,256,300000,300000,elements,62794182.0,ns,14
search_no_match,256,300000,300000,elements,73376491.0,ns,16
search_no_match,256,300000,300000,elements,80040439.0,ns,18
search_no_match,256,300000,300000,elements,94164447.0,ns,20
search_no_match,256,300000,300000,elements,92359261.0,ns,22
search_no_match,256,300000,300000,elements,107187304.0,ns,24
search_no_match,256,300000,300000,elements,116033139.0,ns,26
search_no_match,256,300000,300000,elements,123526515.0,ns,28
search_no_match,256,300000,300000,elements,135833196.0,ns,30
search_no_match,256,300000,300000,elements,141096005.0,ns,32
search_no_match,256,300000,300000,elements,147659328.0,ns,34
search_no_match,256,300000,300000,elements,160502899.0,ns,36
search_no_match,256,300000,300000,elements,167567299.0,ns,38
search_no_match,256,300000,300000,elements,179418766.0,ns,40
search_no_match,256,300000,300000,elements,180924230.0,ns,42
search_no_match,256,300000,300000,elements,194526615.0,ns,44
search_no_match,256,300000,300000,elements,198199264.0,ns,46
search_no_match,256,300000,300000,elements,213077119.0,ns,48
search_no_match,256,300000,300000,elements,223721319.0,ns,50
search_no_match,256,300000,300000,elements,226764506.0,ns,52
search_no_match,256,300000,300000,elements,238186875.0,ns,54
search_no_match,256,300000,300000,elements,244769267.0,ns,56
search_no_match,256,300000,300000,elements,258025106.0,ns,58
search_no_match,256,300000,300000,elements,268654115.0,ns,60
search_no_match,256,300000,300000,elements,269887900.0,ns,62
search_no_match,256,300000,300000,elements,285172943.0,ns,64
search_no_match,256,300000,300000,elements,289894081.0,ns,66
search_no_match,256,300000,300000,elements,303113921.0,ns,68
search_no_match,256,300000,300000,elements,308351803.0,ns,70
search_no_match,256,300000,300000,elements,318300957.0,ns,72
search_no_match,256,300000,300000,elements,326990432.0,ns,74
search_no_match,256,300000,300000,elements,331251972.0,ns,76
search_no_match,256,300000,300000,elements,346480507.0,ns,78
search_no_match,256,300000,300000,elements,355608281.0,ns,80
search_no_match,256,300000,300000,elements,355290130.0,ns,82
search_no_match,256,300000,300000,elements,372702210.0,ns,84
search_no_match,256,300000,300000,elements,382282934.0,ns,86
search_no_match,256,300000,300000,elements,388873022.0,ns,88
search_no_match,256,300000,300000,elements,398426980.0,ns,90
search_no_match,256,300000,300000,elements,410135048.0,ns,92
search_no_match,256,300000,300000,elements,410857392.0,ns,94
search_no_match,256,300000,300000,elements,427532329.0,ns,96
search_no_match,256,300000,300000,elements,427411689.0,ns,98
search_no_match,256,300000,300000,elements,444040093.0,ns,100
search_no_match,256,300000,300000,elements,451942010.0,ns,102
search_no_match,256,300000,300000,elements,461111354.0,ns,104
search_no_match,256,300000,300000,elements,462255294.0,ns,106
search_no_match,256,300000,300000,elements,482728718.0,ns,108
search_no_match,256,300000,300000,elements,480232560.0,ns,110
search_no_match,256,300000,300000,elements,491642512.0,ns,112
search_no_match,256,300000,300000,elements,495740587.0,ns,114
search_no_match,256,300000,300000,elements,505830159.0,ns,116
search_no_match,256,300000,300000,elements,523300143.0,ns,118
search_no_match,256,300000,300000,elements,530791989.0,ns,120
search_no_match,256,300000,300000,elements,537562676.0,ns,122
search_no_match,256,300000,300000,elements,552397942.0,ns,124
search_no_match,256,300000,300000,elements,555825521.0,ns,126
search_no_match,256,300000,300000,elements,565158843.0,ns,128
search_no_match,256,300000,300000,elements,570799822.0,ns,130
search_no_match,256,300000,300000,elements,581136359.0,ns,132
search_no_match,256,300000,300000,elements,592398151.0,ns,134
search_no_match,256,300000,300000,elements,601608059.0,ns,136
search_no_match,256,300000,300000,elements,602609661.0,ns,138
search_no_match,256,300000,300000,elements,620415438.0,ns,140
search_no_match,256,300000,300000,elements,624046444.0,ns,142
search_no_match,256,300000,300000,elements,632757050.0,ns,144
search_no_match,256,300000,300000,elements,646981553.0,ns,146
search_no_match,256,300000,300000,elements,655387009.0,ns,148
search_no_match,256,300000,300000,elements,655603371.0,ns,150
search_no_match,256,300000,300000,elements,673013448.0,ns,152
search_no_match,256,300000,300000,elements,682478573.0,ns,154
search_no_match,256,300000,300000,elements,682938212.0,ns,156
search_no_match,256,300000,300000,elements,703161720.0,ns,158
search_no_match,256,300000,300000,elements,700126391.0,ns,160
search_no_match,256,300000,300000,elements,714858981.0,ns,162
search_no_match,256,300000,300000,elements,722113012.0,ns,164
search_no_match,256,300000,300000,elements,733258852.0,ns,166
search_no_match,256,300000,300000,elements,745517130.0,ns,168
search_no_match,256,300000,300000,elements,750555800.0,ns,170
search_no_match,256,300000,300000,elements,760464504.0,ns,172
search_no_match,256,300000,300000,elements,771060898.0,ns,174
