group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
search_no_match,8,200000,200000,elements,10075124.0,ns,8
search_no_match,8,200000,200000,elements,12027605.0,ns,16
search_no_match,8,200000,200000,elements,20789758.0,ns,24
search_no_match,8,200000,200000,elements,25963768.0,ns,32
search_no_match,8,200000,200000,elements,29738395.0,ns,40
search_no_match,8,200000,200000,elements,37998048.0,ns,48
search_no_match,8,200000,200000,elements,40662591.0,ns,56
search_no_match,8,200000,200000,elements,56782770.0,ns,64
search_no_match,8,200000,200000,elements,53945251.0,ns,72
search_no_match,8,200000,200000,elements,61130977.0,ns,80
search_no_match,8,200000,200000,elements,69741622.0,ns,88
search_no_match,8,200000,200000,elements,69438866.0,ns,96
search_no_match,8,200000,200000,elements,71859382.0,ns,104
search_no_match,8,200000,200000,elements,83125035.0,ns,112
search_no_match,8,200000,200000,elements,92700795.0,ns,120
search_no_match,8,200000,200000,elements,93016003.0,ns,128
search_no_match,8,200000,200000,elements,106746776.0,ns,136
search_no_match,8,200000,200000,elements,108242634.0,ns,144
search_no_match,8,200000,200000,elements,114187844.0,ns,152
search_no_match,8,200000,200000,elements,126334352.0,ns,160
search_no_match,8,200000,200000,elements,106397464.0,ns,168
search_no_match,8,200000,200000,elements,134567902.0,ns,176
search_no_match,8,200000,200000,elements,142742255.0,ns,184
search_no_match,8,200000,200000,elements,132332881.0,ns,192
search_no_match,8,200000,200000,elements,165531517.0,ns,200
search_no_match,8,200000,200000,elements,165919110.0,ns,208
search_no_match,8,200000,200000,elements,159903245.0,ns,216
search_no_match,8,200000,200000,elements,155050484.0,ns,224
search_no_match,8,200000,200000,elements,179843009.0,ns,232
search_no_match,8,200000,200000,elements,184762194.0,ns,240
search_no_match,8,200000,200000,elements,186947633.0,ns,248
search_no_match,8,200000,200000,elements,197217046.0,ns,256
search_no_match,8,200000,200000,elements,214967812.0,ns,264
search_no_match,8,200000,200000,elements,217530623.0,ns,272
search_no_match,8,200000,200000,elements,208043244.0,ns,280
search_no_match,8,200000,200000,elements,216819513.0,ns,288
search_no_match,8,200000,200000,elements,236847257.0,ns,296
search_no_match,8,200000,200000,elements,233218114.0,ns,304
search_no_match,8,200000,200000,elements,197125045.0,ns,312
search_no_match,8,200000,200000,elements,242356608.0,ns,320
search_no_match,8,200000,200000,elements,244565044.0,ns,328
search_no_match,8,200000,200000,elements,258754159.0,ns,336
search_no_match,8,200000,200000,elements,268092245.0,ns,344
search_no_match,8,200000,200000,elements,262023775.0,ns,352
search_no_match,8,200000,200000,elements,284378287.0,ns,360
search_no_match,8,200000,200000,elements,273616638.0,ns,368
search_no_match,8,200000,200000,elements,257039311.0,ns,376
search_no_match,8,200000,200000,elements,282520690.0,ns,384
search_no_match,8,200000,200000,elements,300632196.0,ns,392
search_no_match,8,200000,200000,elements,306987618.0,ns,400
search_no_match,8,200000,200000,elements,311603193.0,ns,408
search_no_match,8,200000,200000,elements,311729984.0,ns,416
search_no_match,8,200000,200000,elements,321082461.0,ns,424
search_no_match,8,200000,200000,elements,329092099.0,ns,432
search_no_match,8,200000,200000,elements,329927421.0,ns,440
search_no_match,8,200000,200000,elements,326142356.0,ns,448
search_no_match,8,200000,200000,elements,342828733.0,ns,456
search_no_match,8,200000,200000,elements,336752355.0,ns,464
search_no_match,8,200000,200000,elements,367239581.0,ns,472
search_no_match,8,200000,200000,elements,372376740.0,ns,480
search_no_match,8,200000,200000,elements,365311802.0,ns,488
search_no_match,8,200000,200000,elements,379772998.0,ns,496
search_no_match,8,200000,200000,elements,369724915.0,ns,504
search_no_match,8,200000,200000,elements,385374979.0,ns,512
search_no_match,8,200000,200000,elements,368325675.0,ns,520
search_no_match,8,200000,200000,elements,414807539.0,ns,528
search_no_match,8,200000,200000,elements,410485539.0,ns,536
