group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
search_no_match,256,1000000,1000000,elements,13133349.0,ns,1
search_no_match,256,1000000,1000000,elements,26366415.0,ns,2
search_no_match,256,1000000,1000000,elements,39254891.0,ns,3
search_no_match,256,1000000,1000000,elements,53855719.0,ns,4
search_no_match,256,1000000,1000000,elements,66004776.0,ns,5
search_no_match,256,1000000,1000000,elements,79554386.0,ns,6
search_no_match,256,1000000,1000000,elements,92635917.0,ns,7
search_no_match,256,1000000,1000000,elements,105509682.0,ns,8
search_no_match,256,1000000,1000000,elements,118286243.0,ns,9
search_no_match,256,1000000,1000000,elements,131871595.0,ns,10
search_no_match,256,1000000,1000000,elements,144637698.0,ns,11
search_no_match,256,1000000,1000000,elements,158360694.0,ns,12
search_no_match,256,1000000,1000000,elements,170083875.0,ns,13
search_no_match,256,1000000,1000000,elements,184181046.0,ns,14
search_no_match,256,1000000,1000000,elements,196929678.0,ns,15
search_no_match,256,1000000,1000000,elements,210083720.0,ns,16
search_no_match,256,1000000,1000000,elements,224114511.0,ns,17
search_no_match,256,1000000,1000000,elements,236070707.0,ns,18
search_no_match,256,1000000,1000000,elements,249675018.0,ns,19
search_no_match,256,1000000,1000000,elements,262233843.0,ns,20
search_no_match,256,1000000,1000000,elements,275796903.0,ns,21
search_no_match,256,1000000,1000000,elements,290815795.0,ns,22
search_no_match,256,1000000,1000000,elements,302426538.0,ns,23
search_no_match,256,1000000,1000000,elements,315900356.0,ns,24
search_no_match,256,1000000,1000000,elements,330199842.0,ns,25
search_no_match,256,1000000,1000000,elements,344415815.0,ns,26
search_no_match,256,1000000,1000000,elements,358392280.0,ns,27
search_no_match,256,1000000,1000000,elements,369150120.0,ns,28
search_no_match,256,1000000,1000000,elements,381704911.0,ns,29
search_no_match,256,1000000,1000000,elements,396688998.0,ns,30
search_no_match,256,1000000,1000000,elements,408341871.0,ns,31
search_no_match,256,1000000,1000000,elements,422656472.0,ns,32
search_no_match,256,1000000,1000000,elements,437189440.0,ns,33
search_no_match,256,1000000,1000000,elements,451618799.0,ns,34
search_no_match,256,1000000,1000000,elements,460719173.0,ns,35
search_no_match,256,1000000,1000000,elements,474510427.0,ns,36
search_no_match,256,1000000,1000000,elements,488507563.0,ns,37
search_no_match,256,1000000,1000000,elements,503448877.0,ns,38
search_no_match,256,1000000,1000000,elements,514994375.0,ns,39
search_no_match,256,1000000,1000000,elements,530424926.0,ns,40
search_no_match,256,1000000,1000000,elements,540293325.0,ns,41
search_no_match,256,1000000,1000000,elements,554052538.0,ns,42
search_no_match,256,1000000,1000000,elements,567025483.0,ns,43
search_no_match,256,1000000,1000000,elements,586836075.0,ns,44
search_no_match,256,1000000,1000000,elements,595501217.0,ns,45
search_no_match,256,1000000,1000000,elements,609857846.0,ns,46
search_no_match,256,1000000,1000000,elements,621371969.0,ns,47
search_no_match,256,1000000,1000000,elements,632070390.0,ns,48
search_no_match,256,1000000,1000000,elements,649838651.0,ns,49
search_no_match,256,1000000,1000000,elements,657878810.0,ns,50
search_no_match,256,1000000,1000000,elements,672250099.0,ns,51
search_no_match,256,1000000,1000000,elements,687895224.0,ns,52
search_no_match,256,1000000,1000000,elements,699710777.0,ns,53
search_no_match,256,1000000,1000000,elements,712910051.0,ns,54
search_no_match,256,1000000,1000000,elements,723852415.0,ns,55
search_no_match,256,1000000,1000000,elements,738211827.0,ns,56
search_no_match,256,1000000,1000000,elements,751412753.0,ns,57
search_no_match,256,1000000,1000000,elements,766625767.0,ns,58
search_no_match,256,1000000,1000000,elements,780830011.0,ns,59
search_no_match,256,1000000,1000000,elements,793235537.0,ns,60
search_no_match,256,1000000,1000000,elements,806174702.0,ns,61
search_no_match,256,1000000,1000000,elements,815738625.0,ns,62
search_no_match,256,1000000,1000000,elements,832371106.0,ns,63
search_no_match,256,1000000,1000000,elements,849225598.0,ns,64
search_no_match,256,1000000,1000000,elements,864614238.0,ns,65
search_no_match,256,1000000,1000000,elements,877506322.0,ns,66
search_no_match,256,1000000,1000000,elements,885806908.0,ns,67
search_no_match,256,1000000,1000000,elements,897693097.0,ns,68
search_no_match,256,1000000,1000000,elements,909820784.0,ns,69
search_no_match,256,1000000,1000000,elements,927256546.0,ns,70
search_no_match,256,1000000,1000000,elements,936504456.0,ns,71
search_no_match,256,1000000,1000000,elements,947748357.0,ns,72
search_no_match,256,1000000,1000000,elements,961472941.0,ns,73
search_no_match,256,1000000,1000000,elements,977249946.0,ns,74
search_no_match,256,1000000,1000000,elements,990410086.0,ns,75
search_no_match,256,1000000,1000000,elements,1000781782.0,ns,76
search_no_match,256,1000000,1000000,elements,1026461568.0,ns,77
search_no_match,256,1000000,1000000,elements,1031128456.0,ns,78
search_no_match,256,1000000,1000000,elements,1042983809.0,ns,79
search_no_match,256,1000000,1000000,elements,1059554100.0,ns,80
search_no_match,256,1000000,1000000,elements,1072097479.0,ns,81
search_no_match,256,1000000,1000000,elements,1087856673.0,ns,82
search_no_match,256,1000000,1000000,elements,1107807020.0,ns,83
search_no_match,256,1000000,1000000,elements,1105386488.0,ns,84
search_no_match,256,1000000,1000000,elements,1120537146.0,ns,85
search_no_match,256,1000000,1000000,elements,1135747903.0,ns,86
search_no_match,256,1000000,1000000,elements,1146972120.0,ns,87
search_no_match,256,1000000,1000000,elements,1164558470.0,ns,88
search_no_match,256,1000000,1000000,elements,1174508262.0,ns,89
search_no_match,256,1000000,1000000,elements,1183243923.0,ns,90
search_no_match,256,1000000,1000000,elements,1197407528.0,ns,91
search_no_match,256,1000000,1000000,elements,1214470448.0,ns,92
search_no_match,256,1000000,1000000,elements,1222518153.0,ns,93
search_no_match,256,1000000,1000000,elements,1238054988.0,ns,94
search_no_match,256,1000000,1000000,elements,1266082462.0,ns,95
search_no_match,256,1000000,1000000,elements,1269569001.0,ns,96
search_no_match,256,1000000,1000000,elements,1279731316.0,ns,97
search_no_match,256,1000000,1000000,elements,1297558865.0,ns,98
search_no_match,256,1000000,1000000,elements,1316249642.0,ns,99
search_no_match,256,1000000,1000000,elements,1317345395.0,ns,100
