group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
search_no_match,64,1000000,1000000,elements,6856909.0,ns,2
search_no_match,64,1000000,1000000,elements,14108686.0,ns,4
search_no_match,64,1000000,1000000,elements,20348240.0,ns,6
search_no_match,64,1000000,1000000,elements,29030527.0,ns,8
search_no_match,64,1000000,1000000,elements,37296058.0,ns,10
search_no_match,64,1000000,1000000,elements,42313304.0,ns,12
search_no_match,64,1000000,1000000,elements,51529507.0,ns,14
search_no_match,64,1000000,1000000,elements,59159907.0,ns,16
search_no_match,64,1000000,1000000,elements,67571561.0,ns,18
search_no_match,64,1000000,1000000,elements,75184626.0,ns,20
search_no_match,64,1000000,1000000,elements,78265705.0,ns,22
search_no_match,64,1000000,1000000,elements,82817951.0,ns,24
search_no_match,64,1000000,1000000,elements,97100653.0,ns,26
search_no_match,64,1000000,1000000,elements,101302899.0,ns,28
search_no_match,64,1000000,1000000,elements,109298218.0,ns,30
search_no_match,64,1000000,1000000,elements,113553634.0,ns,32
search_no_match,64,1000000,1000000,elements,126435309.0,ns,34
search_no_match,64,1000000,1000000,elements,125966196.0,ns,36
search_no_match,64,1000000,1000000,elements,138190305.0,ns,38
search_no_match,64,1000000,1000000,elements,143347121.0,ns,40
search_no_match,64,1000000,1000000,elements,152903002.0,ns,42
search_no_match,64,1000000,1000000,elements,154429533.0,ns,44
search_no_match,64,1000000,1000000,elements,173217985.0,ns,46
search_no_match,64,1000000,1000000,elements,176573284.0,ns,48
search_no_match,64,1000000,1000000,elements,178028365.0,ns,50
search_no_match,64,1000000,1000000,elements,193674576.0,ns,52
search_no_match,64,1000000,1000000,elements,199666312.0,ns,54
search_no_match,64,1000000,1000000,elements,204709496.0,ns,56
search_no_match,64,1000000,1000000,elements,215030760.0,ns,58
search_no_match,64,1000000,1000000,elements,217565196.0,ns,60
search_no_match,64,1000000,1000000,elements,225803284.0,ns,62
search_no_match,64,1000000,1000000,elements,231121710.0,ns,64
search_no_match,64,1000000,1000000,elements,239816792.0,ns,66
search_no_match,64,1000000,1000000,elements,246285408.0,ns,68
