group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
search_no_match,128,600000,600000,elements,7901876.0,ns,2
search_no_match,128,600000,600000,elements,16037602.0,ns,4
search_no_match,128,600000,600000,elements,25083807.0,ns,6
search_no_match,128,600000,600000,elements,35432005.0,ns,8
search_no_match,128,600000,600000,elements,43570951.0,ns,10
search_no_match,128,600000,600000,elements,49987140.0,ns,12
search_no_match,128,600000,600000,elements,57701150.0,ns,14
search_no_match,128,600000,600000,elements,68986863.0,ns,16
search_no_match,128,600000,600000,elements,79059357.0,ns,18
search_no_match,128,600000,600000,elements,80974885.0,ns,20
search_no_match,128,600000,600000,elements,95406331.0,ns,22
search_no_match,128,600000,600000,elements,103913204.0,ns,24
search_no_match,128,600000,600000,elements,111927278.0,ns,26
search_no_match,128,600000,600000,elements,114662969.0,ns,28
search_no_match,128,600000,600000,elements,128141428.0,ns,30
search_no_match,128,600000,600000,elements,141050039.0,ns,32
search_no_match,128,600000,600000,elements,141167896.0,ns,34
search_no_match,128,600000,600000,elements,151625975.0,ns,36
search_no_match,128,600000,600000,elements,163250313.0,ns,38
search_no_match,128,600000,600000,elements,168988042.0,ns,40
search_no_match,128,600000,600000,elements,175740593.0,ns,42
search_no_match,128,600000,600000,elements,192064642.0,ns,44
search_no_match,128,600000,600000,elements,194937623.0,ns,46
search_no_match,128,600000,600000,elements,202335299.0,ns,48
search_no_match,128,600000,600000,elements,214044895.0,ns,50
search_no_match,128,600000,600000,elements,224889083.0,ns,52
search_no_match,128,600000,600000,elements,226611553.0,ns,54
search_no_match,128,600000,600000,elements,240678917.0,ns,56
search_no_match,128,600000,600000,elements,252028150.0,ns,58
search_no_match,128,600000,600000,elements,252000028.0,ns,60
search_no_match,128,600000,600000,elements,267091522.0,ns,62
search_no_match,128,600000,600000,elements,273129406.0,ns,64
search_no_match,128,600000,600000,elements,280172186.0,ns,66
search_no_match,128,600000,600000,elements,294599566.0,ns,68
search_no_match,128,600000,600000,elements,295042622.0,ns,70
search_no_match,128,600000,600000,elements,305142071.0,ns,72
search_no_match,128,600000,600000,elements,315445137.0,ns,74
search_no_match,128,600000,600000,elements,325877791.0,ns,76
search_no_match,128,600000,600000,elements,335003789.0,ns,78
search_no_match,128,600000,600000,elements,339044526.0,ns,80
search_no_match,128,600000,600000,elements,348203191.0,ns,82
search_no_match,128,600000,600000,elements,356128610.0,ns,84
search_no_match,128,600000,600000,elements,372238530.0,ns,86
search_no_match,128,600000,600000,elements,379442595.0,ns,88
search_no_match,128,600000,600000,elements,381757094.0,ns,90
search_no_match,128,600000,600000,elements,390440625.0,ns,92
search_no_match,128,600000,600000,elements,403389475.0,ns,94
search_no_match,128,600000,600000,elements,404795882.0,ns,96
search_no_match,128,600000,600000,elements,419167175.0,ns,98
search_no_match,128,600000,600000,elements,424113266.0,ns,100
search_no_match,128,600000,600000,elements,435776879.0,ns,102
search_no_match,128,600000,600000,elements,441727188.0,ns,104
search_no_match,128,600000,600000,elements,454302084.0,ns,106
search_no_match,128,600000,600000,elements,458683478.0,ns,108
search_no_match,128,600000,600000,elements,469071437.0,ns,110
search_no_match,128,600000,600000,elements,473358795.0,ns,112
search_no_match,128,600000,600000,elements,488045178.0,ns,114
search_no_match,128,600000,600000,elements,498952954.0,ns,116
search_no_match,128,600000,600000,elements,504226905.0,ns,118
search_no_match,128,600000,600000,elements,513929232.0,ns,120
search_no_match,128,600000,600000,elements,521979055.0,ns,122
search_no_match,128,600000,600000,elements,531049234.0,ns,124
search_no_match,128,600000,600000,elements,535639344.0,ns,126
search_no_match,128,600000,600000,elements,547875095.0,ns,128
search_no_match,128,600000,600000,elements,553364665.0,ns,130
search_no_match,128,600000,600000,elements,562404072.0,ns,132
search_no_match,128,600000,600000,elements,568803155.0,ns,134
search_no_match,128,600000,600000,elements,576893993.0,ns,136
search_no_match,128,600000,600000,elements,594915579.0,ns,138
search_no_match,128,600000,600000,elements,595720091.0,ns,140
search_no_match,128,600000,600000,elements,611192901.0,ns,142
search_no_match,128,600000,600000,elements,608183741.0,ns,144
search_no_match,128,600000,600000,elements,620452636.0,ns,146
search_no_match,128,600000,600000,elements,623219690.0,ns,148
search_no_match,128,600000,600000,elements,634382761.0,ns,150
search_no_match,128,600000,600000,elements,646260526.0,ns,152
search_no_match,128,600000,600000,elements,654990627.0,ns,154
search_no_match,128,600000,600000,elements,660914848.0,ns,156
search_no_match,128,600000,600000,elements,676228480.0,ns,158
search_no_match,128,600000,600000,elements,675451556.0,ns,160
search_no_match,128,600000,600000,elements,691183577.0,ns,162
search_no_match,128,600000,600000,elements,699656573.0,ns,164
search_no_match,128,600000,600000,elements,708153453.0,ns,166
search_no_match,128,600000,600000,elements,711776550.0,ns,168
search_no_match,128,600000,600000,elements,721121262.0,ns,170
search_no_match,128,600000,600000,elements,735001177.0,ns,172
search_no_match,128,600000,600000,elements,747365465.0,ns,174
search_no_match,128,600000,600000,elements,748405824.0,ns,176
search_no_match,128,600000,600000,elements,759487820.0,ns,178
search_no_match,128,600000,600000,elements,771667514.0,ns,180
search_no_match,128,600000,600000,elements,776229306.0,ns,182
search_no_match,128,600000,600000,elements,783482867.0,ns,184
search_no_match,128,600000,600000,elements,785606134.0,ns,186
search_no_match,128,600000,600000,elements,803950578.0,ns,188
search_no_match,128,600000,600000,elements,807543842.0,ns,190
search_no_match,128,600000,600000,elements,818487082.0,ns,192
