group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
search_no_match,8,100000,100000,elements,7443954.0,ns,9
search_no_match,8,100000,100000,elements,12757335.0,ns,18
search_no_match,8,100000,100000,elements,19270759.0,ns,27
search_no_match,8,100000,100000,elements,26519477.0,ns,36
search_no_match,8,100000,100000,elements,31889938.0,ns,45
search_no_match,8,100000,100000,elements,35703582.0,ns,54
search_no_match,8,100000,100000,elements,41374236.0,ns,63
search_no_match,8,100000,100000,elements,47249226.0,ns,72
search_no_match,8,100000,100000,elements,61813264.0,ns,81
search_no_match,8,100000,100000,elements,64364303.0,ns,90
search_no_match,8,100000,100000,elements,66719060.0,ns,99
search_no_match,8,100000,100000,elements,69858093.0,ns,108
search_no_match,8,100000,100000,elements,86074126.0,ns,117
search_no_match,8,100000,100000,elements,85561650.0,ns,126
search_no_match,8,100000,100000,elements,98395699.0,ns,135
search_no_match,8,100000,100000,elements,96235048.0,ns,144
search_no_match,8,100000,100000,elements,100917380.0,ns,153
search_no_match,8,100000,100000,elements,114645864.0,ns,162
search_no_match,8,100000,100000,elements,126792479.0,ns,171
search_no_match,8,100000,100000,elements,125440194.0,ns,180
search_no_match,8,100000,100000,elements,131599394.0,ns,189
search_no_match,8,100000,100000,elements,144482479.0,ns,198
search_no_match,8,100000,100000,elements,156779227.0,ns,207
search_no_match,8,100000,100000,elements,143961003.0,ns,216
search_no_match,8,100000,100000,elements,158043130.0,ns,225
search_no_match,8,100000,100000,elements,164443165.0,ns,234
search_no_match,8,100000,100000,elements,167078151.0,ns,243
search_no_match,8,100000,100000,elements,170416950.0,ns,252
search_no_match,8,100000,100000,elements,179970901.0,ns,261
search_no_match,8,100000,100000,elements,186936250.0,ns,270
search_no_match,8,100000,100000,elements,176932596.0,ns,279
search_no_match,8,100000,100000,elements,203856282.0,ns,288
search_no_match,8,100000,100000,elements,206029031.0,ns,297
search_no_match,8,100000,100000,elements,202730418.0,ns,306
search_no_match,8,100000,100000,elements,155490361.0,ns,315
search_no_match,8,100000,100000,elements,220772132.0,ns,324
search_no_match,8,100000,100000,elements,217383953.0,ns,333
search_no_match,8,100000,100000,elements,233488765.0,ns,342
search_no_match,8,100000,100000,elements,235762861.0,ns,351
search_no_match,8,100000,100000,elements,257044332.0,ns,360
search_no_match,8,100000,100000,elements,258997610.0,ns,369
search_no_match,8,100000,100000,elements,271440394.0,ns,378
search_no_match,8,100000,100000,elements,282424325.0,ns,387
search_no_match,8,100000,100000,elements,283278837.0,ns,396
search_no_match,8,100000,100000,elements,287643563.0,ns,405
search_no_match,8,100000,100000,elements,300733223.0,ns,414
search_no_match,8,100000,100000,elements,291457049.0,ns,423
search_no_match,8,100000,100000,elements,308806894.0,ns,432
search_no_match,8,100000,100000,elements,301918183.0,ns,441
search_no_match,8,100000,100000,elements,319695794.0,ns,450
search_no_match,8,100000,100000,elements,314170537.0,ns,459
search_no_match,8,100000,100000,elements,339171423.0,ns,468
search_no_match,8,100000,100000,elements,315729905.0,ns,477
search_no_match,8,100000,100000,elements,333514782.0,ns,486
search_no_match,8,100000,100000,elements,351493224.0,ns,495
search_no_match,8,100000,100000,elements,316686010.0,ns,504
search_no_match,8,100000,100000,elements,332899880.0,ns,513
search_no_match,8,100000,100000,elements,335897982.0,ns,522
search_no_match,8,100000,100000,elements,372747467.0,ns,531
search_no_match,8,100000,100000,elements,386268040.0,ns,540
search_no_match,8,100000,100000,elements,373538872.0,ns,549
search_no_match,8,100000,100000,elements,374906818.0,ns,558
search_no_match,8,100000,100000,elements,393137257.0,ns,567
search_no_match,8,100000,100000,elements,395004073.0,ns,576
search_no_match,8,100000,100000,elements,419943026.0,ns,585
search_no_match,8,100000,100000,elements,423358263.0,ns,594
search_no_match,8,100000,100000,elements,437019710.0,ns,603
search_no_match,8,100000,100000,elements,420421140.0,ns,612
search_no_match,8,100000,100000,elements,413948016.0,ns,621
search_no_match,8,100000,100000,elements,437478652.0,ns,630
search_no_match,8,100000,100000,elements,434376815.0,ns,639
search_no_match,8,100000,100000,elements,450742145.0,ns,648
search_no_match,8,100000,100000,elements,460355453.0,ns,657
search_no_match,8,100000,100000,elements,403665795.0,ns,666
search_no_match,8,100000,100000,elements,461203876.0,ns,675
search_no_match,8,100000,100000,elements,489299385.0,ns,684
search_no_match,8,100000,100000,elements,430303962.0,ns,693
search_no_match,8,100000,100000,elements,511705466.0,ns,702
search_no_match,8,100000,100000,elements,453208840.0,ns,711
search_no_match,8,100000,100000,elements,485212829.0,ns,720
search_no_match,8,100000,100000,elements,512711593.0,ns,729
search_no_match,8,100000,100000,elements,490127240.0,ns,738
